Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;31 años;Españoles;Hombres;2002;327.957
Total Nacional;;31 años;Españoles;Hombres;2001;324.338
Total Nacional;;31 años;Españoles;Hombres;2000;321.461
Total Nacional;;31 años;Españoles;Mujeres;2006;331.479
Total Nacional;;31 años;Españoles;Mujeres;2005;324.515
Total Nacional;;31 años;Españoles;Mujeres;2004;324.278
Total Nacional;;31 años;Españoles;Mujeres;2003;320.524
Total Nacional;;31 años;Españoles;Mujeres;2002;317.095
Total Nacional;;31 años;Españoles;Mujeres;2001;315.951
Total Nacional;;31 años;Españoles;Mujeres;2000;315.201
Total Nacional;;31 años;Extranjeros;Hombres;2006;71.988
Total Nacional;;31 años;Extranjeros;Hombres;2005;62.788
Total Nacional;;31 años;Extranjeros;Hombres;2004;51.120
Total Nacional;;31 años;Extranjeros;Hombres;2003;43.296
Total Nacional;;31 años;Extranjeros;Hombres;2002;33.572
Total Nacional;;31 años;Extranjeros;Hombres;2001;21.630
Total Nacional;;31 años;Extranjeros;Hombres;2000;12.882
Total Nacional;;31 años;Extranjeros;Mujeres;2006;54.862
Total Nacional;;31 años;Extranjeros;Mujeres;2005;48.266
Total Nacional;;31 años;Extranjeros;Mujeres;2004;39.656
Total Nacional;;31 años;Extranjeros;Mujeres;2003;34.394
Total Nacional;;31 años;Extranjeros;Mujeres;2002;26.298
Total Nacional;;31 años;Extranjeros;Mujeres;2001;17.377
Total Nacional;;31 años;Extranjeros;Mujeres;2000;11.246
Total Nacional;;32 años;Españoles;Hombres;2006;339.598
Total Nacional;;32 años;Españoles;Hombres;2005;337.778
Total Nacional;;32 años;Españoles;Hombres;2004;333.185
Total Nacional;;32 años;Españoles;Hombres;2003;328.544
Total Nacional;;32 años;Españoles;Hombres;2002;325.413
Total Nacional;;32 años;Españoles;Hombres;2001;322.653
Total Nacional;;32 años;Españoles;Hombres;2000;326.180
Total Nacional;;32 años;Españoles;Mujeres;2006;325.601
Total Nacional;;32 años;Españoles;Mujeres;2005;325.319
Total Nacional;;32 años;Españoles;Mujeres;2004;320.859
Total Nacional;;32 años;Españoles;Mujeres;2003;317.910
Total Nacional;;32 años;Españoles;Mujeres;2002;316.754
Total Nacional;;32 años;Españoles;Mujeres;2001;315.630
Total Nacional;;32 años;Españoles;Mujeres;2000;321.136
Total Nacional;;32 años;Extranjeros;Hombres;2006;67.902
Total Nacional;;32 años;Extranjeros;Hombres;2005;62.602
Total Nacional;;32 años;Extranjeros;Hombres;2004;48.398
Total Nacional;;32 años;Extranjeros;Hombres;2003;44.590
Total Nacional;;32 años;Extranjeros;Hombres;2002;32.334
Total Nacional;;32 años;Extranjeros;Hombres;2001;21.715
Total Nacional;;32 años;Extranjeros;Hombres;2000;12.621
Total Nacional;;32 años;Extranjeros;Mujeres;2006;51.830
Total Nacional;;32 años;Extranjeros;Mujeres;2005;46.920
Total Nacional;;32 años;Extranjeros;Mujeres;2004;38.506
Total Nacional;;32 años;Extranjeros;Mujeres;2003;34.357
Total Nacional;;32 años;Extranjeros;Mujeres;2002;24.914
Total Nacional;;32 años;Extranjeros;Mujeres;2001;17.457
Total Nacional;;32 años;Extranjeros;Mujeres;2000;11.026
Total Nacional;;33 años;Españoles;Hombres;2006;338.622
Total Nacional;;33 años;Españoles;Hombres;2005;334.162
Total Nacional;;33 años;Españoles;Hombres;2004;328.869
Total Nacional;;33 años;Españoles;Hombres;2003;326.393
Total Nacional;;33 años;Españoles;Hombres;2002;323.859
Total Nacional;;33 años;Españoles;Hombres;2001;327.400
Total Nacional;;33 años;Españoles;Hombres;2000;322.225
Total Nacional;;33 años;Españoles;Mujeres;2006;326.321
Total Nacional;;33 años;Españoles;Mujeres;2005;321.972
Total Nacional;;33 años;Españoles;Mujeres;2004;318.257
Total Nacional;;33 años;Españoles;Mujeres;2003;317.698
Total Nacional;;33 años;Españoles;Mujeres;2002;316.459
Total Nacional;;33 años;Españoles;Mujeres;2001;321.854
Total Nacional;;33 años;Españoles;Mujeres;2000;317.160
Total Nacional;;33 años;Extranjeros;Hombres;2006;67.496
Total Nacional;;33 años;Extranjeros;Hombres;2005;58.522
Total Nacional;;33 años;Extranjeros;Hombres;2004;49.353
Total Nacional;;33 años;Extranjeros;Hombres;2003;42.280
Total Nacional;;33 años;Extranjeros;Hombres;2002;31.564
Total Nacional;;33 años;Extranjeros;Hombres;2001;20.703
Total Nacional;;33 años;Extranjeros;Hombres;2000;13.227
Total Nacional;;33 años;Extranjeros;Mujeres;2006;50.214
Total Nacional;;33 años;Extranjeros;Mujeres;2005;45.075
Total Nacional;;33 años;Extranjeros;Mujeres;2004;37.753
Total Nacional;;33 años;Extranjeros;Mujeres;2003;32.230
Total Nacional;;33 años;Extranjeros;Mujeres;2002;24.662
Total Nacional;;33 años;Extranjeros;Mujeres;2001;16.785
Total Nacional;;33 años;Extranjeros;Mujeres;2000;11.246
Total Nacional;;34 años;Españoles;Hombres;2006;335.078
Total Nacional;;34 años;Españoles;Hombres;2005;329.919
Total Nacional;;34 años;Españoles;Hombres;2004;326.886
Total Nacional;;34 años;Españoles;Hombres;2003;324.854
Total Nacional;;34 años;Españoles;Hombres;2002;328.492
Total Nacional;;34 años;Españoles;Hombres;2001;323.756
Total Nacional;;34 años;Españoles;Hombres;2000;321.611
Total Nacional;;34 años;Españoles;Mujeres;2006;323.097
Total Nacional;;34 años;Españoles;Mujeres;2005;319.423
Total Nacional;;34 años;Españoles;Mujeres;2004;318.180
Total Nacional;;34 años;Españoles;Mujeres;2003;317.501
Total Nacional;;34 años;Españoles;Mujeres;2002;322.795
Total Nacional;;34 años;Españoles;Mujeres;2001;317.890
Total Nacional;;34 años;Españoles;Mujeres;2000;318.225
Total Nacional;;34 años;Extranjeros;Hombres;2006;62.976
Total Nacional;;34 años;Extranjeros;Hombres;2005;59.713
Total Nacional;;34 años;Extranjeros;Hombres;2004;46.319
Total Nacional;;34 años;Extranjeros;Hombres;2003;41.050
Total Nacional;;34 años;Extranjeros;Hombres;2002;29.641
Total Nacional;;34 años;Extranjeros;Hombres;2001;20.478
Total Nacional;;34 años;Extranjeros;Hombres;2000;12.737
Total Nacional;;34 años;Extranjeros;Mujeres;2006;47.958
Total Nacional;;34 años;Extranjeros;Mujeres;2005;44.130
Total Nacional;;34 años;Extranjeros;Mujeres;2004;35.614
Total Nacional;;34 años;Extranjeros;Mujeres;2003;31.597
Total Nacional;;34 años;Extranjeros;Mujeres;2002;23.318
Total Nacional;;34 años;Extranjeros;Mujeres;2001;16.458
Total Nacional;;34 años;Extranjeros;Mujeres;2000;11.259
Total Nacional;;35 años;Españoles;Hombres;2006;330.652
Total Nacional;;35 años;Españoles;Hombres;2005;327.919
Total Nacional;;35 años;Españoles;Hombres;2004;325.365
Total Nacional;;35 años;Españoles;Hombres;2003;329.901
Total Nacional;;35 años;Españoles;Hombres;2002;324.931
Total Nacional;;35 años;Españoles;Hombres;2001;322.934
Total Nacional;;35 años;Españoles;Hombres;2000;327.644
Total Nacional;;35 años;Españoles;Mujeres;2006;320.488
Total Nacional;;35 años;Españoles;Mujeres;2005;319.346
Total Nacional;;35 años;Españoles;Mujeres;2004;318.068
Total Nacional;;35 años;Españoles;Mujeres;2003;323.890
Total Nacional;;35 años;Españoles;Mujeres;2002;318.704
Total Nacional;;35 años;Españoles;Mujeres;2001;318.888
Total Nacional;;35 años;Españoles;Mujeres;2000;325.138
Total Nacional;;35 años;Extranjeros;Hombres;2006;63.941
Total Nacional;;35 años;Extranjeros;Hombres;2005;55.382
Total Nacional;;35 años;Extranjeros;Hombres;2004;44.979
Total Nacional;;35 años;Extranjeros;Hombres;2003;38.165
Total Nacional;;35 años;Extranjeros;Hombres;2002;28.506
Total Nacional;;35 años;Extranjeros;Hombres;2001;19.457
Total Nacional;;35 años;Extranjeros;Hombres;2000;12.530
Total Nacional;;35 años;Extranjeros;Mujeres;2006;46.834
Total Nacional;;35 años;Extranjeros;Mujeres;2005;41.840
Total Nacional;;35 años;Extranjeros;Mujeres;2004;34.547
Total Nacional;;35 años;Extranjeros;Mujeres;2003;29.709
Total Nacional;;35 años;Extranjeros;Mujeres;2002;22.448
Total Nacional;;35 años;Extranjeros;Mujeres;2001;16.364
Total Nacional;;35 años;Extranjeros;Mujeres;2000;11.144
Total Nacional;;36 años;Españoles;Hombres;2006;328.948
Total Nacional;;36 años;Españoles;Hombres;2005;326.411
Total Nacional;;36 años;Españoles;Hombres;2004;330.554
Total Nacional;;36 años;Españoles;Hombres;2003;325.968
Total Nacional;;36 años;Españoles;Hombres;2002;324.006
Total Nacional;;36 años;Españoles;Hombres;2001;329.027
Total Nacional;;36 años;Españoles;Hombres;2000;313.949
Total Nacional;;36 años;Españoles;Mujeres;2006;320.405
Total Nacional;;36 años;Españoles;Mujeres;2005;319.181
Total Nacional;;36 años;Españoles;Mujeres;2004;324.514
Total Nacional;;36 años;Españoles;Mujeres;2003;319.982
Total Nacional;;36 años;Españoles;Mujeres;2002;319.743
Total Nacional;;36 años;Españoles;Mujeres;2001;325.849
Total Nacional;;36 años;Españoles;Mujeres;2000;310.485
Total Nacional;;36 años;Extranjeros;Hombres;2006;58.906
Total Nacional;;36 años;Extranjeros;Hombres;2005;53.839
Total Nacional;;36 años;Extranjeros;Hombres;2004;41.212
Total Nacional;;36 años;Extranjeros;Hombres;2003;35.992
Total Nacional;;36 años;Extranjeros;Hombres;2002;27.054
Total Nacional;;36 años;Extranjeros;Hombres;2001;18.842
Total Nacional;;36 años;Extranjeros;Hombres;2000;11.815
Total Nacional;;36 años;Extranjeros;Mujeres;2006;44.471
Total Nacional;;36 años;Extranjeros;Mujeres;2005;40.586
Total Nacional;;36 años;Extranjeros;Mujeres;2004;32.296
Total Nacional;;36 años;Extranjeros;Mujeres;2003;28.159
Total Nacional;;36 años;Extranjeros;Mujeres;2002;22.090
Total Nacional;;36 años;Extranjeros;Mujeres;2001;15.937
Total Nacional;;36 años;Extranjeros;Mujeres;2000;10.569
Total Nacional;;37 años;Españoles;Hombres;2006;327.321
Total Nacional;;37 años;Españoles;Hombres;2005;331.444
Total Nacional;;37 años;Españoles;Hombres;2004;326.615
Total Nacional;;37 años;Españoles;Hombres;2003;324.992
Total Nacional;;37 años;Españoles;Hombres;2002;330.205
Total Nacional;;37 años;Españoles;Hombres;2001;315.473
Total Nacional;;37 años;Españoles;Hombres;2000;303.879
Total Nacional;;37 años;Españoles;Mujeres;2006;320.167
Total Nacional;;37 años;Españoles;Mujeres;2005;325.577
Total Nacional;;37 años;Españoles;Mujeres;2004;320.618
Total Nacional;;37 años;Españoles;Mujeres;2003;320.734
Total Nacional;;37 años;Españoles;Mujeres;2002;326.599
Total Nacional;;37 años;Españoles;Mujeres;2001;311.145
Total Nacional;;37 años;Españoles;Mujeres;2000;302.422
Total Nacional;;37 años;Extranjeros;Hombres;2006;57.371
Total Nacional;;37 años;Extranjeros;Hombres;2005;49.128
Total Nacional;;37 años;Extranjeros;Hombres;2004;38.349
Total Nacional;;37 años;Extranjeros;Hombres;2003;34.127
Total Nacional;;37 años;Extranjeros;Hombres;2002;26.042
Total Nacional;;37 años;Extranjeros;Hombres;2001;17.520
Total Nacional;;37 años;Extranjeros;Hombres;2000;11.180
Total Nacional;;37 años;Extranjeros;Mujeres;2006;43.037
Total Nacional;;37 años;Extranjeros;Mujeres;2005;37.707
Total Nacional;;37 años;Extranjeros;Mujeres;2004;30.306
Total Nacional;;37 años;Extranjeros;Mujeres;2003;27.521
Total Nacional;;37 años;Extranjeros;Mujeres;2002;21.395
Total Nacional;;37 años;Extranjeros;Mujeres;2001;15.109
Total Nacional;;37 años;Extranjeros;Mujeres;2000;10.127
Total Nacional;;38 años;Españoles;Hombres;2006;332.307
Total Nacional;;38 años;Españoles;Hombres;2005;327.475
Total Nacional;;38 años;Españoles;Hombres;2004;325.608
Total Nacional;;38 años;Españoles;Hombres;2003;331.507
Total Nacional;;38 años;Españoles;Hombres;2002;316.413
Total Nacional;;38 años;Españoles;Hombres;2001;305.233
Total Nacional;;38 años;Españoles;Hombres;2000;298.568
Total Nacional;;38 años;Españoles;Mujeres;2006;326.519
Total Nacional;;38 años;Españoles;Mujeres;2005;321.521
Total Nacional;;38 años;Españoles;Mujeres;2004;321.325
Total Nacional;;38 años;Españoles;Mujeres;2003;327.610
Total Nacional;;38 años;Españoles;Mujeres;2002;311.816
Total Nacional;;38 años;Españoles;Mujeres;2001;303.157
Total Nacional;;38 años;Españoles;Mujeres;2000;298.355
Total Nacional;;38 años;Extranjeros;Hombres;2006;52.357
Total Nacional;;38 años;Extranjeros;Hombres;2005;45.148
Total Nacional;;38 años;Extranjeros;Hombres;2004;36.323
Total Nacional;;38 años;Extranjeros;Hombres;2003;32.739
Total Nacional;;38 años;Extranjeros;Hombres;2002;24.027
Total Nacional;;38 años;Extranjeros;Hombres;2001;16.343
Total Nacional;;38 años;Extranjeros;Hombres;2000;9.911
Total Nacional;;38 años;Extranjeros;Mujeres;2006;40.140
Total Nacional;;38 años;Extranjeros;Mujeres;2005;34.858
Total Nacional;;38 años;Extranjeros;Mujeres;2004;29.390
Total Nacional;;38 años;Extranjeros;Mujeres;2003;26.575
Total Nacional;;38 años;Extranjeros;Mujeres;2002;20.117
Total Nacional;;38 años;Extranjeros;Mujeres;2001;14.235
Total Nacional;;38 años;Extranjeros;Mujeres;2000;9.299
Total Nacional;;39 años;Españoles;Hombres;2006;328.305
Total Nacional;;39 años;Españoles;Hombres;2005;326.312
Total Nacional;;39 años;Españoles;Hombres;2004;331.964
Total Nacional;;39 años;Españoles;Hombres;2003;317.551
Total Nacional;;39 años;Españoles;Hombres;2002;306.018
Total Nacional;;39 años;Españoles;Hombres;2001;299.812
Total Nacional;;39 años;Españoles;Hombres;2000;302.720
Total Nacional;;39 años;Españoles;Mujeres;2006;322.443
Total Nacional;;39 años;Españoles;Mujeres;2005;322.259
Total Nacional;;39 años;Españoles;Mujeres;2004;328.246
Total Nacional;;39 años;Españoles;Mujeres;2003;312.786
Total Nacional;;39 años;Españoles;Mujeres;2002;303.769
Total Nacional;;39 años;Españoles;Mujeres;2001;298.994
Total Nacional;;39 años;Españoles;Mujeres;2000;302.709
Total Nacional;;39 años;Extranjeros;Hombres;2006;47.657
Total Nacional;;39 años;Extranjeros;Hombres;2005;42.657
Total Nacional;;39 años;Extranjeros;Hombres;2004;34.755
Total Nacional;;39 años;Extranjeros;Hombres;2003;30.039
Total Nacional;;39 años;Extranjeros;Hombres;2002;22.436
Total Nacional;;39 años;Extranjeros;Hombres;2001;14.519
Total Nacional;;39 años;Extranjeros;Hombres;2000;10.302
Total Nacional;;39 años;Extranjeros;Mujeres;2006;36.708
Total Nacional;;39 años;Extranjeros;Mujeres;2005;33.784
Total Nacional;;39 años;Extranjeros;Mujeres;2004;28.252
Total Nacional;;39 años;Extranjeros;Mujeres;2003;25.096
Total Nacional;;39 años;Extranjeros;Mujeres;2002;18.932
Total Nacional;;39 años;Extranjeros;Mujeres;2001;12.933
Total Nacional;;39 años;Extranjeros;Mujeres;2000;9.376
Total Nacional;;40 años;Españoles;Hombres;2006;327.045
Total Nacional;;40 años;Españoles;Hombres;2005;332.737
Total Nacional;;40 años;Españoles;Hombres;2004;317.982
Total Nacional;;40 años;Españoles;Hombres;2003;307.155
Total Nacional;;40 años;Españoles;Hombres;2002;300.704
Total Nacional;;40 años;Españoles;Hombres;2001;303.958
Total Nacional;;40 años;Españoles;Hombres;2000;295.841
Total Nacional;;40 años;Españoles;Mujeres;2006;323.175
Total Nacional;;40 años;Españoles;Mujeres;2005;329.137
Total Nacional;;40 años;Españoles;Mujeres;2004;313.342
Total Nacional;;40 años;Españoles;Mujeres;2003;304.844
Total Nacional;;40 años;Españoles;Mujeres;2002;299.705
Total Nacional;;40 años;Españoles;Mujeres;2001;303.248
Total Nacional;;40 años;Españoles;Mujeres;2000;295.991
Total Nacional;;40 años;Extranjeros;Hombres;2006;44.829
Total Nacional;;40 años;Extranjeros;Hombres;2005;40.769
Total Nacional;;40 años;Extranjeros;Hombres;2004;31.874
Total Nacional;;40 años;Extranjeros;Hombres;2003;28.245
Total Nacional;;40 años;Extranjeros;Hombres;2002;19.845
Total Nacional;;40 años;Extranjeros;Hombres;2001;14.571
Total Nacional;;40 años;Extranjeros;Hombres;2000;9.067
Total Nacional;;40 años;Extranjeros;Mujeres;2006;35.418
Total Nacional;;40 años;Extranjeros;Mujeres;2005;32.541
Total Nacional;;40 años;Extranjeros;Mujeres;2004;26.763
Total Nacional;;40 años;Extranjeros;Mujeres;2003;23.423
Total Nacional;;40 años;Extranjeros;Mujeres;2002;17.081
Total Nacional;;40 años;Extranjeros;Mujeres;2001;12.844
Total Nacional;;40 años;Extranjeros;Mujeres;2000;8.722
Total Nacional;;41 años;Españoles;Hombres;2006;333.372
Total Nacional;;41 años;Españoles;Hombres;2005;318.583
Total Nacional;;41 años;Españoles;Hombres;2004;307.479
Total Nacional;;41 años;Españoles;Hombres;2003;301.814
Total Nacional;;41 años;Españoles;Hombres;2002;304.697
Total Nacional;;41 años;Españoles;Hombres;2001;297.105
Total Nacional;;41 años;Españoles;Hombres;2000;291.244
Total Nacional;;41 años;Españoles;Mujeres;2006;329.970
Total Nacional;;41 años;Españoles;Mujeres;2005;314.053
Total Nacional;;41 años;Españoles;Mujeres;2004;305.390
Total Nacional;;41 años;Españoles;Mujeres;2003;300.787
Total Nacional;;41 años;Españoles;Mujeres;2002;303.810
Total Nacional;;41 años;Españoles;Mujeres;2001;296.502
Total Nacional;;41 años;Españoles;Mujeres;2000;291.677
Total Nacional;;41 años;Extranjeros;Hombres;2006;42.937
Total Nacional;;41 años;Extranjeros;Hombres;2005;37.292
Total Nacional;;41 años;Extranjeros;Hombres;2004;29.821
Total Nacional;;41 años;Extranjeros;Hombres;2003;24.884
Total Nacional;;41 años;Extranjeros;Hombres;2002;19.998
Total Nacional;;41 años;Extranjeros;Hombres;2001;12.895
Total Nacional;;41 años;Extranjeros;Hombres;2000;8.884
Total Nacional;;41 años;Extranjeros;Mujeres;2006;34.198
Total Nacional;;41 años;Extranjeros;Mujeres;2005;30.739
Total Nacional;;41 años;Extranjeros;Mujeres;2004;24.850
Total Nacional;;41 años;Extranjeros;Mujeres;2003;21.170
Total Nacional;;41 años;Extranjeros;Mujeres;2002;16.882
Total Nacional;;41 años;Extranjeros;Mujeres;2001;11.705
Total Nacional;;41 años;Extranjeros;Mujeres;2000;8.216
Total Nacional;;42 años;Españoles;Hombres;2006;319.141
Total Nacional;;42 años;Españoles;Hombres;2005;307.982
Total Nacional;;42 años;Españoles;Hombres;2004;302.214
Total Nacional;;42 años;Españoles;Hombres;2003;305.611
Total Nacional;;42 años;Españoles;Hombres;2002;298.022
Total Nacional;;42 años;Españoles;Hombres;2001;292.248
Total Nacional;;42 años;Españoles;Hombres;2000;285.775
Total Nacional;;42 años;Españoles;Mujeres;2006;314.745
Total Nacional;;42 años;Españoles;Mujeres;2005;306.040
Total Nacional;;42 años;Españoles;Mujeres;2004;301.255
Total Nacional;;42 años;Españoles;Mujeres;2003;304.755
Total Nacional;;42 años;Españoles;Mujeres;2002;297.056
Total Nacional;;42 años;Españoles;Mujeres;2001;292.219
Total Nacional;;42 años;Españoles;Mujeres;2000;286.921
Total Nacional;;42 años;Extranjeros;Hombres;2006;39.332
Total Nacional;;42 años;Extranjeros;Hombres;2005;35.079
Total Nacional;;42 años;Extranjeros;Hombres;2004;26.400
Total Nacional;;42 años;Extranjeros;Hombres;2003;25.007
Total Nacional;;42 años;Extranjeros;Hombres;2002;17.442
Total Nacional;;42 años;Extranjeros;Hombres;2001;12.362
Total Nacional;;42 años;Extranjeros;Hombres;2000;7.952
Total Nacional;;42 años;Extranjeros;Mujeres;2006;32.584
Total Nacional;;42 años;Extranjeros;Mujeres;2005;28.654
Total Nacional;;42 años;Extranjeros;Mujeres;2004;22.554
Total Nacional;;42 años;Extranjeros;Mujeres;2003;20.703
Total Nacional;;42 años;Extranjeros;Mujeres;2002;15.334
Total Nacional;;42 años;Extranjeros;Mujeres;2001;10.985
Total Nacional;;42 años;Extranjeros;Mujeres;2000;7.593
Total Nacional;;43 años;Españoles;Hombres;2006;308.500
Total Nacional;;43 años;Españoles;Hombres;2005;302.755
Total Nacional;;43 años;Españoles;Hombres;2004;305.682
Total Nacional;;43 años;Españoles;Hombres;2003;298.907
Total Nacional;;43 años;Españoles;Hombres;2002;292.788
Total Nacional;;43 años;Españoles;Hombres;2001;286.889
Total Nacional;;43 años;Españoles;Hombres;2000;267.581
Total Nacional;;43 años;Españoles;Mujeres;2006;306.713
Total Nacional;;43 años;Españoles;Mujeres;2005;301.736
Total Nacional;;43 años;Españoles;Mujeres;2004;305.079
Total Nacional;;43 años;Españoles;Mujeres;2003;297.897
Total Nacional;;43 años;Españoles;Mujeres;2002;292.639
Total Nacional;;43 años;Españoles;Mujeres;2001;287.393
Total Nacional;;43 años;Españoles;Mujeres;2000;268.374
Total Nacional;;43 años;Extranjeros;Hombres;2006;36.855
Total Nacional;;43 años;Extranjeros;Hombres;2005;30.906
Total Nacional;;43 años;Extranjeros;Hombres;2004;26.474
Total Nacional;;43 años;Extranjeros;Hombres;2003;21.895
Total Nacional;;43 años;Extranjeros;Hombres;2002;16.592
Total Nacional;;43 años;Extranjeros;Hombres;2001;11.081
Total Nacional;;43 años;Extranjeros;Hombres;2000;7.701
Total Nacional;;43 años;Extranjeros;Mujeres;2006;30.018
Total Nacional;;43 años;Extranjeros;Mujeres;2005;26.223
Total Nacional;;43 años;Extranjeros;Mujeres;2004;22.078
Total Nacional;;43 años;Extranjeros;Mujeres;2003;18.900
Total Nacional;;43 años;Extranjeros;Mujeres;2002;14.321
Total Nacional;;43 años;Extranjeros;Mujeres;2001;10.171
Total Nacional;;43 años;Extranjeros;Mujeres;2000;7.207
Total Nacional;;44 años;Españoles;Hombres;2006;303.141
Total Nacional;;44 años;Españoles;Hombres;2005;305.973
Total Nacional;;44 años;Españoles;Hombres;2004;299.050
Total Nacional;;44 años;Españoles;Hombres;2003;293.490
Total Nacional;;44 años;Españoles;Hombres;2002;287.384
Total Nacional;;44 años;Españoles;Hombres;2001;268.279
Total Nacional;;44 años;Españoles;Hombres;2000;260.441
Total Nacional;;44 años;Españoles;Mujeres;2006;302.268
Total Nacional;;44 años;Españoles;Mujeres;2005;305.550
Total Nacional;;44 años;Españoles;Mujeres;2004;298.379
